Results after 50 rounds:
Global Model results:
{'loss': 0.6681, 'accuracy': 0.7439, 'f1': 0.9389, 'accuracy_binary': 0.9401, 'recall': 0.9086, 'precision': 0.9713}
Client 19: {'loss': 0.9385, 'accuracy': 0.6866, 'f1': 0.8399, 'accuracy_binary': 0.8556, 'recall': 0.7473, 'precision': 0.9586}
Client 20: {'loss': 0.8546, 'accuracy': 0.6948, 'f1': 0.9101, 'accuracy_binary': 0.9128, 'recall': 0.871, 'precision': 0.9529}
Client 21: {'loss': 0.9271, 'accuracy': 0.6812, 'f1': 0.8318, 'accuracy_binary': 0.8501, 'recall': 0.7312, 'precision': 0.9645}
Client 22: {'loss': 0.9178, 'accuracy': 0.6812, 'f1': 0.8614, 'accuracy_binary': 0.8747, 'recall': 0.7688, 'precision': 0.9795}
Client 23: {'loss': 0.8749, 'accuracy': 0.6839, 'f1': 0.8389, 'accuracy_binary': 0.8556, 'recall': 0.7419, 'precision': 0.965}
Client 24: {'loss': 0.8705, 'accuracy': 0.7084, 'f1': 0.8772, 'accuracy_binary': 0.8856, 'recall': 0.8065, 'precision': 0.9615}
Client 25: {'loss': 0.9072, 'accuracy': 0.6621, 'f1': 0.8328, 'accuracy_binary': 0.8501, 'recall': 0.7366, 'precision': 0.958}
Client 26: {'loss': 0.8751, 'accuracy': 0.6948, 'f1': 0.9106, 'accuracy_binary': 0.9128, 'recall': 0.8763, 'precision': 0.9477}
Client 27: {'loss': 0.8976, 'accuracy': 0.7193, 'f1': 0.9153, 'accuracy_binary': 0.9183, 'recall': 0.871, 'precision': 0.9643}
Client 28: {'loss': 0.9179, 'accuracy': 0.703, 'f1': 0.883, 'accuracy_binary': 0.891, 'recall': 0.8118, 'precision': 0.9679}
Client 29: {'loss': 1.0332, 'accuracy': 0.6948, 'f1': 0.903, 'accuracy_binary': 0.9046, 'recall': 0.8763, 'precision': 0.9314}
TESTING:  {'loss': 0.65, 'accuracy': 0.7564, 'f1': 0.965, 'accuracy_binary': 0.9655, 'recall': 0.9391, 'precision': 0.9924}


Client test 0: {'loss': 0.8312, 'accuracy': 0.7255, 'f1': 0.9254, 'accuracy_binary': 0.9273, 'recall': 0.8889, 'precision': 0.965}
Client test 1: {'loss': 0.828, 'accuracy': 0.6982, 'f1': 0.8979, 'accuracy_binary': 0.9036, 'recall': 0.8351, 'precision': 0.9708}
Client test 2: {'loss': 0.7934, 'accuracy': 0.7036, 'f1': 0.9087, 'accuracy_binary': 0.9145, 'recall': 0.8387, 'precision': 0.9915}
Client test 3: {'loss': 0.8378, 'accuracy': 0.7145, 'f1': 0.916, 'accuracy_binary': 0.92, 'recall': 0.8602, 'precision': 0.9796}
Client test 4: {'loss': 0.8848, 'accuracy': 0.6891, 'f1': 0.8537, 'accuracy_binary': 0.8691, 'recall': 0.7527, 'precision': 0.9859}
Client test 5: {'loss': 0.9255, 'accuracy': 0.6982, 'f1': 0.8612, 'accuracy_binary': 0.8745, 'recall': 0.767, 'precision': 0.9817}
Client test 6: {'loss': 0.84, 'accuracy': 0.7164, 'f1': 0.8827, 'accuracy_binary': 0.8927, 'recall': 0.7957, 'precision': 0.9911}
Client test 7: {'loss': 0.8408, 'accuracy': 0.7364, 'f1': 0.9294, 'accuracy_binary': 0.9309, 'recall': 0.8961, 'precision': 0.9653}
Client test 8: {'loss': 0.8486, 'accuracy': 0.7109, 'f1': 0.8692, 'accuracy_binary': 0.8818, 'recall': 0.7742, 'precision': 0.9908}
Client test 9: {'loss': 0.8162, 'accuracy': 0.7545, 'f1': 0.9451, 'accuracy_binary': 0.9455, 'recall': 0.9247, 'precision': 0.9663}
Client test 10: {'loss': 0.8028, 'accuracy': 0.72, 'f1': 0.881, 'accuracy_binary': 0.8909, 'recall': 0.7957, 'precision': 0.9867}
Client test 11: {'loss': 0.773, 'accuracy': 0.7, 'f1': 0.9257, 'accuracy_binary': 0.9291, 'recall': 0.871, 'precision': 0.9878}
Client test 12: {'loss': 0.8389, 'accuracy': 0.6945, 'f1': 0.9251, 'accuracy_binary': 0.9273, 'recall': 0.8853, 'precision': 0.9686}
Client test 13: {'loss': 0.7674, 'accuracy': 0.7236, 'f1': 0.9216, 'accuracy_binary': 0.9255, 'recall': 0.8638, 'precision': 0.9877}
Client test 14: {'loss': 0.8571, 'accuracy': 0.7055, 'f1': 0.8975, 'accuracy_binary': 0.9036, 'recall': 0.8315, 'precision': 0.9748}
Client test 15: {'loss': 0.8363, 'accuracy': 0.7036, 'f1': 0.8969, 'accuracy_binary': 0.9018, 'recall': 0.8423, 'precision': 0.9592}
Client test 16: {'loss': 0.8549, 'accuracy': 0.7218, 'f1': 0.9199, 'accuracy_binary': 0.9218, 'recall': 0.8853, 'precision': 0.9574}
Client test 17: {'loss': 0.9125, 'accuracy': 0.7036, 'f1': 0.9194, 'accuracy_binary': 0.92, 'recall': 0.8996, 'precision': 0.9401}
Client test 18: {'loss': 0.8909, 'accuracy': 0.7164, 'f1': 0.9435, 'accuracy_binary': 0.9436, 'recall': 0.9283, 'precision': 0.9593}
Client test 19: {'loss': 0.8212, 'accuracy': 0.7018, 'f1': 0.9047, 'accuracy_binary': 0.9073, 'recall': 0.8674, 'precision': 0.9453}
Client test 20: {'loss': 0.8532, 'accuracy': 0.7164, 'f1': 0.9388, 'accuracy_binary': 0.94, 'recall': 0.9068, 'precision': 0.9731}
Client test 21: {'loss': 0.8736, 'accuracy': 0.7109, 'f1': 0.8963, 'accuracy_binary': 0.9036, 'recall': 0.8208, 'precision': 0.9871}
Client test 22: {'loss': 0.8722, 'accuracy': 0.7127, 'f1': 0.9087, 'accuracy_binary': 0.9145, 'recall': 0.8387, 'precision': 0.9915}
Client test 23: {'loss': 0.7679, 'accuracy': 0.7218, 'f1': 0.9031, 'accuracy_binary': 0.9091, 'recall': 0.8351, 'precision': 0.9831}
Client test 24: {'loss': 0.8156, 'accuracy': 0.7164, 'f1': 0.9336, 'accuracy_binary': 0.9364, 'recall': 0.8817, 'precision': 0.9919}
Client test 25: {'loss': 0.8185, 'accuracy': 0.7145, 'f1': 0.8915, 'accuracy_binary': 0.8982, 'recall': 0.8244, 'precision': 0.9705}
Client test 26: {'loss': 0.8697, 'accuracy': 0.7, 'f1': 0.9234, 'accuracy_binary': 0.9236, 'recall': 0.9068, 'precision': 0.9405}
Client test 27: {'loss': 0.8501, 'accuracy': 0.7273, 'f1': 0.9266, 'accuracy_binary': 0.9291, 'recall': 0.8817, 'precision': 0.9762}
Client test 28: {'loss': 0.9275, 'accuracy': 0.7182, 'f1': 0.9358, 'accuracy_binary': 0.9382, 'recall': 0.8889, 'precision': 0.988}
Client test 29: {'loss': 0.9691, 'accuracy': 0.7182, 'f1': 0.9275, 'accuracy_binary': 0.9273, 'recall': 0.9176, 'precision': 0.9377}
